3.64E-01,-7.53E-02,1
4.18E-01,-9.16E-02,1
4.40E-01,-1.06E-01,1
1.23E-01,-1.19E-01,1
-2.04E-01,-1.31E-01,1
-3.40E-01,-1.21E-01,1
-3.65E-01,2.07E-01,1
-3.54E-01,5.60E-01,1
-3.33E-01,3.99E-01,1
-3.12E-01,7.22E-02,1
-2.74E-01,-9.86E-02,1
7.91E-02,-1.59E-01,1
4.54E-01,-1.78E-01,1
3.12E-01,-1.85E-01,1
1.04E-03,-1.88E-01,1
-1.56E-01,-1.71E-01,1
-2.04E-01,1.64E-01,1
-2.13E-01,5.24E-01,1
-2.12E-01,3.67E-01,1
-2.08E-01,4.52E-02,1
-1.84E-01,-1.21E-01,1
1.56E-01,-1.78E-01,1
5.20E-01,-1.94E-01,1
3.67E-01,-1.99E-01,1
4.76E-02,-1.99E-01,1
-1.17E-01,-1.79E-01,1
-1.72E-01,1.57E-01,1
-1.86E-01,5.18E-01,1
-1.90E-01,3.63E-01,1
-1.89E-01,4.13E-02,1
-1.69E-01,-1.25E-01,1
1.68E-01,-1.81E-01,1
5.30E-01,-1.97E-01,1
3.75E-01,-2.01E-01,1
5.46E-02,-2.01E-01,1
-1.11E-01,-1.82E-01,1
-1.67E-01,1.55E-01,1
-1.82E-01,5.15E-01,1
-1.86E-01,3.60E-01,1
-1.86E-01,3.89E-02,1
-1.66E-01,-1.28E-01,1
1.71E-01,-1.85E-01,1
5.33E-01,-2.01E-01,1
3.80E-01,-2.06E-01,1
5.97E-02,-2.08E-01,1
-1.05E-01,-1.90E-01,1
-1.59E-01,1.45E-01,1
-1.73E-01,5.03E-01,1
-1.74E-01,3.45E-01,1
-1.72E-01,2.05E-02,1
-1.48E-01,-1.50E-01,1
1.93E-01,-2.11E-01,1
5.58E-01,-2.32E-01,1
4.09E-01,-2.42E-01,1
9.40E-02,-2.50E-01,1
-6.42E-02,-2.39E-01,1
-1.11E-01,8.75E-02,1
-1.17E-01,4.37E-01,1
-1.09E-01,2.68E-01,1
-9.57E-02,-6.91E-02,1